Region,Category,order_count,total_sales,avg_profit
East,Technology,429,261917.89900000015,109.96219300699298
West,Technology,502,249096.30299999996,87.45234462151399
West,Furniture,533,248280.21250000046,19.173459662288906
East,Furniture,456,204703.02400000003,4.545038157894747
West,Office Supplies,683,197210.10400000014,66.07031932650075
East,Office Supplies,586,184466.7820000001,60.61112508532419
Central,Technology,330,167931.254,101.1527754545455
Central,Furniture,343,161170.59379999994,-6.110033527696797
Central,Office Supplies,452,150509.99800000008,21.17279092920357
South,Technology,232,146974.179,84.78192844827589
South,Furniture,241,115161.22600000004,25.776632365145222
South,Office Supplies,355,113887.90700000006,49.73293915492954
