item_id,order_id,product_id,product_name,category,qty,unit_price,discount,net_price
ITM-100001,ORD-100001,PRD-116,Organic Bananas 1kg,Produce,5,60.0,15,255.0
ITM-100002,ORD-100001,PRD-107,White Bread,Bakery,5,35.0,20,140.0
ITM-100003,ORD-100002,PRD-108,Croissant,Bakery,3,60.0,0,180.0
ITM-100004,ORD-100002,PRD-125,Cadbury Dairy Milk 100g,Snacks,3,100.0,15,255.0
ITM-100005,ORD-100003,PRD-104,Greek Yogurt 150g,Dairy,4,50.0,15,170.0
ITM-100006,ORD-100004,PRD-112,Tropicana Orange 1L,Beverages,3,99.0,5,282.15
ITM-100007,ORD-100004,PRD-112,Tropicana Orange 1L,Beverages,1,99.0,20,79.2
ITM-100008,ORD-100004,PRD-125,Cadbury Dairy Milk 100g,Snacks,2,100.0,10,180.0
ITM-100009,ORD-100005,PRD-120,Tomatoes 1kg,Produce,5,40.0,15,170.0
ITM-100010,ORD-100005,PRD-105,Amul Cheese Slices 200g,Dairy,1,120.0,15,102.0
ITM-100012,ORD-100006,PRD-105,Amul Cheese Slices 200g,Dairy,1,120.0,0,120.0
ITM-100013,ORD-100006,PRD-124,Haldiram Bhujia 150g,Snacks,2,55.0,0,110.0
ITM-100014,ORD-100006,PRD-120,Tomatoes 1kg,Produce,3,40.0,5,114.0
ITM-100015,ORD-100007,PRD-111,Coca Cola 2L,Beverages,3,99.0,0,297.0
ITM-100026,ORD-100010,PRD-122,Oreo Biscuits,Snacks,1,30.0,10,27.0
ITM-100109,ORD-100043,PRD-104,Greek Yogurt 150g,Dairy,2,50.0,15,85.0
ITM-100110,ORD-100044,PRD-122,Oreo Biscuits,Snacks,5,30.0,10,135.0
ITM-100111,ORD-100044,PRD-122,Oreo Biscuits,Snacks,5,30.0,20,120.0
ITM-100112,ORD-100045,PRD-115,Pepsi 750ml,Beverages,3,45.0,20,108.0
ITM-100113,ORD-100045,PRD-102,Mother Dairy Milk 1L,Dairy,3,66.0,0,198.0
ITM-100114,ORD-100046,PRD-112,Tropicana Orange 1L,Beverages,1,99.0,15,84.15
ITM-100115,ORD-100046,PRD-125,Cadbury Dairy Milk 100g,Snacks,5,100.0,15,425.0
ITM-100116,ORD-100046,PRD-103,Paneer 200g,Dairy,4,85.0,10,306.0
ITM-100117,ORD-100047,PRD-104,Greek Yogurt 150g,Dairy,3,50.0,10,135.0
ITM-100118,ORD-100047,PRD-117,Washington Apples 1kg,Produce,5,220.0,15,935.0
ITM-100119,ORD-100048,PRD-123,Kurkure Masala Munch,Snacks,5,20.0,5,95.0
ITM-100120,ORD-100048,PRD-102,Mother Dairy Milk 1L,Dairy,5,66.0,0,330.0
ITM-100121,ORD-100049,PRD-116,Organic Bananas 1kg,Produce,3,60.0,20,144.0
ITM-100122,ORD-100050,PRD-120,Tomatoes 1kg,Produce,3,40.0,10,108.0
ITM-100123,ORD-100050,PRD-117,Washington Apples 1kg,Produce,5,220.0,20,880.0
ITM-100124,ORD-100050,PRD-112,Tropicana Orange 1L,Beverages,5,99.0,5,470.25
ITM-100125,ORD-100050,PRD-119,Potatoes 5kg,Produce,5,150.0,15,637.5
ITM-100126,ORD-100051,PRD-116,Organic Bananas 1kg,Produce,5,60.0,5,285.0
ITM-100127,ORD-100051,PRD-108,Croissant,Bakery,2,60.0,10,108.0
ITM-100128,ORD-100051,PRD-101,Amul Butter 500g,Dairy,1,55.0,0,55.0
ITM-100129,ORD-100051,PRD-115,Pepsi 750ml,Beverages,2,45.0,0,90.0
ITM-100130,ORD-100052,PRD-114,Red Label Tea 250g,Beverages,3,140.0,0,420.0
ITM-100131,ORD-100052,PRD-112,Tropicana Orange 1L,Beverages,2,99.0,20,158.4
ITM-100132,ORD-100052,PRD-101,Amul Butter 500g,Dairy,3,55.0,5,156.75
ITM-100133,ORD-100052,PRD-109,Chocolate Muffin,Bakery,3,40.0,0,120.0
ITM-100134,ORD-100053,PRD-117,Washington Apples 1kg,Produce,3,220.0,20,528.0
ITM-100135,ORD-100053,PRD-125,Cadbury Dairy Milk 100g,Snacks,1,100.0,0,100.0
ITM-100136,ORD-100053,PRD-122,Oreo Biscuits,Snacks,3,30.0,10,81.0
ITM-100137,ORD-100054,PRD-124,Haldiram Bhujia 150g,Snacks,5,55.0,20,220.0
ITM-100138,ORD-100054,PRD-101,Amul Butter 500g,Dairy,2,55.0,5,104.5
