order_id,customer_id,order_date,status,region_code
ORD-100001,CUST-1422,2026-01-13 13:25:00,PLACED,REG_WEST
ORD-100002,CUST-1388,2025-07-22 08:05:00,PLACED,REG_SOUTH
ORD-100003,CUST-1530,2026-04-27 19:51:00,SHIPPED,REG_EAST
ORD-100004,CUST-1292,2026-02-27 23:34:00,DELIVERED,REG_WEST
ORD-100005,CUST-1193,2026-06-11 02:11:00,PLACED,REG_NORTH
ORD-100006,CUST-1467,2026-02-11 14:17:00,SHIPPED,REG_WEST
ORD-100007,CUST-1193,2025-09-12 00:09:00,PLACED,REG_NORTH
ORD-100008,CUST-1191,2025-05-23 09:17:00,PLACED,REG_WEST
ORD-100010,CUST-1351,2025-11-02 09:50:00,DELIVERED,REG_EAST
ORD-100011,CUST-1475,2026-03-23 01:21:00,PLACED,REG_SOUTH
ORD-100012,CUST-1058,2025-08-15 12:04:00,PLACED,REG_SOUTH
ORD-100013,CUST-1197,2026-06-05 08:52:00,PLACED,REG_NORTH
ORD-100014,CUST-1125,2026-04-29 22:15:00,PLACED,REG_WEST
ORD-100015,CUST-1254,2026-04-13 01:12:00,PLACED,REG_NORTH
ORD-100016,CUST-1534,2026-03-07 06:30:00,PLACED,REG_EAST
ORD-100017,CUST-1331,2025-06-21 20:46:00,PLACED,REG_NORTH
ORD-100018,CUST-1260,2025-12-03 20:19:00,PLACED,REG_NORTH
ORD-100019,CUST-1224,2025-05-28 07:40:00,PLACED,REG_NORTH
ORD-100020,CUST-1172,2026-05-12 08:37:00,PLACED,REG_SOUTH
ORD-100021,CUST-1010,2025-04-22 18:50:00,SHIPPED,REG_SOUTH
ORD-100022,CUST-1381,2026-04-30 02:15:00,PLACED,REG_NORTH
ORD-100023,CUST-1347,2026-04-24 20:03:00,PLACED,REG_SOUTH
ORD-100024,CUST-1550,2026-05-11 03:08:00,PLACED,REG_EAST
ORD-100025,CUST-1356,2026-05-18 14:46:00,PLACED,REG_WEST
ORD-100026,CUST-1367,2026-04-06 04:16:00,DELIVERED,REG_WEST
ORD-100027,CUST-1449,2026-01-12 09:34:00,SHIPPED,REG_SOUTH
ORD-100028,CUST-1192,2026-01-04 11:20:00,SHIPPED,REG_EAST
ORD-100029,CUST-1165,2025-05-06 16:09:00,PLACED,REG_EAST
ORD-100030,CUST-1376,2025-11-19 00:49:00,SHIPPED,REG_WEST
