order_id,customer_id,order_date,city,payment_mode,status
ORD-100001,CUST-1174,2024-05-22 23:10:00,Delhi,UPI,cancelled
ORD-100002,CUST-1160,2024-06-08 00:58:00,Mumbai,Card,delivered
ORD-100003,CUST-1170,2024-04-04 02:41:00,Delhi,COD,delivered
ORD-100004,CUST-1047,2024-04-07 08:24:00,Bengaluru,COD,delivered
ORD-100005,CUST-1084,2024-05-14 12:17:00,Delhi,COD,cancelled
ORD-100006,CUST-1065,2024-04-11 15:01:00,Delhi,UPI,delivered
ORD-100007,CUST-1090,2024-04-29 20:04:00,Mumbai,Card,cancelled
ORD-100008,CUST-1011,2024-04-04 07:12:00,Mumbai,Card,cancelled
ORD-100009,CUST-1040,2024-05-01 04:30:00,Bengaluru,Card,delivered
ORD-100010,CUST-1056,2024-05-30 22:16:00,Bengaluru,UPI,cancelled
ORD-100011,CUST-9999,2024-06-17 23:45:00,Delhi,UPI,delivered
ORD-100012,CUST-9999,2024-04-14 18:01:00,Delhi,Card,returned
ORD-100013,CUST-9999,2024-05-19 12:45:00,Delhi,Card,delivered
ORD-100014,CUST-9999,2024-06-20 07:06:00,Bengaluru,COD,delivered
ORD-100015,CUST-9999,2024-06-16 03:50:00,Bengaluru,UPI,returned
ORD-100016,CUST-9999,2024-06-08 13:42:00,Bengaluru,Card,delivered
ORD-100017,CUST-9999,2024-05-14 00:54:00,Bengaluru,COD,delivered
ORD-100018,CUST-9999,2024-05-26 11:40:00,Bengaluru,COD,returned
ORD-100019,CUST-9999,2024-04-20 13:11:00,Bengaluru,Card,delivered
ORD-100020,CUST-9999,2024-06-18 17:49:00,Bengaluru,COD,delivered
ORD-100021,,2024-06-15 08:20:00,Mumbai,UPI,returned
ORD-100022,,2024-05-28 07:48:00,Delhi,Card,delivered
ORD-100023,,2024-05-19 10:01:00,Bengaluru,COD,delivered
ORD-100024,,2024-06-02 06:22:00,Bengaluru,COD,cancelled
ORD-100025,,2024-06-16 22:56:00,Delhi,UPI,delivered
ORD-100026,,2024-04-25 02:15:00,Mumbai,COD,delivered
ORD-100027,,2024-05-01 22:30:00,Mumbai,COD,delivered
ORD-100028,,2024-04-03 02:18:00,Mumbai,Card,delivered
ORD-100029,,2024-05-10 21:37:00,Mumbai,Card,delivered
ORD-100030,,2024-05-15 13:47:00,Delhi,COD,delivered
ORD-100031,CUST-1180,2024-05-29 08:19:00,Kolkata,UPI,delivered
ORD-100032,CUST-1185,2024-04-25 10:07:00,Kolkata,Card,delivered
ORD-100033,CUST-1048,2024-04-25 06:47:00,Kolkata,Card,delivered
ORD-100034,CUST-1151,2024-06-07 19:18:00,Kolkata,UPI,returned
ORD-100035,CUST-1076,2024-04-30 11:11:00,Kolkata,Card,delivered
ORD-100036,CUST-1137,2024-04-17 08:02:00,Kolkata,Card,returned
ORD-100037,CUST-1075,2024-06-29 04:40:00,Kolkata,COD,returned
ORD-100038,CUST-1027,2024-04-02 18:18:00,Kolkata,COD,delivered
ORD-100039,CUST-1088,2024-04-24 01:16:00,Kolkata,COD,returned
ORD-100040,CUST-1030,2024-04-09 12:31:00,Kolkata,Card,delivered
ORD-100041,CUST-1176,2028-05-10 12:00:00,Bengaluru,COD,cancelled
ORD-100042,CUST-1022,invalid-date-format,Bengaluru,Card,cancelled
ORD-100043,CUST-1153,2024-06-19 07:49:00,Delhi,COD,delivered
ORD-100044,CUST-1114,2024-05-09 18:27:00,Delhi,Card,delivered
ORD-100045,CUST-1016,2024-06-18 23:06:00,Mumbai,UPI,returned
ORD-100046,CUST-1161,2024-04-28 08:42:00,Bengaluru,UPI,delivered
ORD-100047,CUST-1045,2024-06-10 02:10:00,Bengaluru,COD,delivered
ORD-100048,CUST-1177,2024-06-16 15:18:00,Bengaluru,COD,delivered
ORD-100049,CUST-1181,2024-05-07 22:55:00,Bengaluru,Card,delivered
ORD-100050,CUST-1060,2024-05-04 20:37:00,Delhi,UPI,delivered
ORD-100051,CUST-1109,2024-04-15 17:14:00,Mumbai,COD,delivered
ORD-100052,CUST-1037,2024-04-10 01:10:00,Mumbai,Card,cancelled
ORD-100053,CUST-1192,2024-06-12 09:28:00,Mumbai,Card,delivered
ORD-100054,CUST-1078,2024-06-29 12:17:00,Delhi,COD,delivered
ORD-100055,CUST-1113,2024-04-11 19:02:00,Delhi,Card,returned
ORD-100056,CUST-1083,2024-06-17 08:01:00,Bengaluru,Card,delivered
ORD-100057,CUST-1148,2024-06-15 00:48:00,Mumbai,COD,delivered
ORD-100058,CUST-1148,2024-04-06 05:30:00,Mumbai,COD,delivered
ORD-100059,CUST-1072,2024-04-24 18:27:00,Delhi,COD,delivered
ORD-100060,CUST-1024,2024-05-31 11:26:00,Bengaluru,Card,delivered
ORD-100061,CUST-1027,2024-04-21 10:26:00,Mumbai,COD,delivered
ORD-100062,CUST-1170,2024-05-22 17:02:00,Delhi,COD,delivered
ORD-100063,CUST-1065,2024-05-12 03:49:00,Delhi,Card,delivered
ORD-100064,CUST-1001,2024-06-24 17:29:00,Bengaluru,UPI,delivered
ORD-100065,CUST-1133,2024-05-17 19:48:00,Mumbai,COD,delivered
ORD-100066,CUST-1195,2024-04-07 06:17:00,Bengaluru,COD,delivered
ORD-100067,CUST-1113,2024-06-29 15:07:00,Delhi,Card,delivered
ORD-100068,CUST-1156,2024-05-01 22:10:00,Delhi,UPI,delivered
ORD-100069,CUST-1142,2024-05-23 02:14:00,Bengaluru,UPI,returned
ORD-100070,CUST-1119,2024-04-16 20:53:00,Mumbai,Card,delivered
ORD-100071,CUST-1075,2024-06-05 22:17:00,Mumbai,COD,delivered
ORD-100072,CUST-1121,2024-05-02 14:35:00,Bengaluru,UPI,delivered
ORD-100073,CUST-1154,2024-06-05 23:56:00,Bengaluru,UPI,delivered
ORD-100074,CUST-1071,2024-05-24 10:59:00,Delhi,COD,cancelled
ORD-100075,CUST-1001,2024-05-07 23:19:00,Bengaluru,Card,cancelled
ORD-100076,CUST-1169,2024-06-02 04:28:00,Delhi,COD,delivered
ORD-100077,CUST-1086,2024-06-10 17:24:00,Delhi,COD,delivered
ORD-100078,CUST-1049,2024-06-29 07:36:00,Bengaluru,COD,delivered
ORD-100079,CUST-1012,2024-05-11 23:30:00,Mumbai,COD,delivered
ORD-100080,CUST-1099,2024-06-24 20:09:00,Delhi,UPI,delivered
ORD-100081,CUST-1033,2024-06-04 18:21:00,Mumbai,COD,returned
ORD-100082,CUST-1026,2024-06-07 14:00:00,Bengaluru,COD,delivered
ORD-100083,CUST-1168,2024-04-20 02:30:00,Delhi,COD,cancelled
ORD-100084,CUST-1087,2024-06-19 22:25:00,Mumbai,COD,delivered
ORD-100085,CUST-1173,2024-06-08 12:20:00,Delhi,COD,delivered
ORD-100086,CUST-1139,2024-04-05 19:04:00,Delhi,Card,delivered
ORD-100087,CUST-1074,2024-04-30 23:05:00,Mumbai,UPI,delivered
ORD-100088,CUST-1195,2024-06-21 22:55:00,Bengaluru,UPI,delivered
ORD-100089,CUST-1178,2024-05-09 00:02:00,Mumbai,UPI,delivered
ORD-100090,CUST-1076,2024-05-16 11:27:00,Bengaluru,Card,delivered
ORD-100091,CUST-1106,2024-06-12 21:50:00,Bengaluru,UPI,delivered
ORD-100092,CUST-1021,2024-06-18 12:39:00,Delhi,COD,delivered
ORD-100093,CUST-1150,2024-04-19 07:29:00,Bengaluru,COD,delivered
ORD-100094,CUST-1066,2024-06-25 00:57:00,Bengaluru,COD,cancelled
ORD-100095,CUST-1174,2024-06-09 05:04:00,Delhi,COD,delivered
ORD-100096,CUST-1151,2024-05-09 20:27:00,Mumbai,COD,delivered
ORD-100097,CUST-1078,2024-04-26 12:54:00,Delhi,UPI,delivered
ORD-100098,CUST-1098,2024-06-13 11:36:00,Bengaluru,Card,delivered
ORD-100099,CUST-1076,2024-04-03 21:25:00,Bengaluru,Card,delivered
ORD-100100,CUST-1176,2024-04-07 19:47:00,Bengaluru,COD,delivered
ORD-100101,CUST-1199,2024-04-30 19:51:00,Delhi,Card,delivered
ORD-100102,CUST-1049,2024-06-19 08:43:00,Bengaluru,Card,cancelled
ORD-100103,CUST-1175,2024-04-18 20:06:00,Delhi,Card,returned
ORD-100104,CUST-1011,2024-05-10 14:02:00,Mumbai,Card,delivered
ORD-100105,CUST-1034,2024-04-12 09:20:00,Mumbai,UPI,delivered
ORD-100106,CUST-1052,2024-04-17 17:56:00,Bengaluru,Card,returned
ORD-100107,CUST-1129,2024-05-05 05:16:00,Bengaluru,COD,returned
ORD-100108,CUST-1076,2024-05-14 03:29:00,Bengaluru,UPI,returned
ORD-100109,CUST-1194,2024-04-29 21:46:00,Bengaluru,COD,delivered
ORD-100110,CUST-1143,2024-05-17 02:50:00,Mumbai,COD,delivered
ORD-100111,CUST-1138,2024-04-16 14:23:00,Delhi,Card,delivered
ORD-100112,CUST-1068,2024-06-14 12:52:00,Delhi,COD,delivered
ORD-100113,CUST-1028,2024-06-26 07:30:00,Bengaluru,Card,delivered
ORD-100114,CUST-1084,2024-06-18 07:41:00,Delhi,COD,delivered
ORD-100115,CUST-1180,2024-05-09 20:26:00,Mumbai,UPI,delivered
ORD-100116,CUST-1010,2024-05-09 15:07:00,Delhi,Card,delivered
ORD-100117,CUST-1035,2024-05-20 14:23:00,Bengaluru,Card,delivered
ORD-100118,CUST-1179,2024-06-09 13:37:00,Bengaluru,UPI,delivered
ORD-100119,CUST-1107,2024-06-23 03:53:00,Delhi,COD,delivered
ORD-100120,CUST-1072,2024-04-05 22:23:00,Delhi,COD,delivered
ORD-100121,CUST-1061,2024-05-17 03:43:00,Bengaluru,Card,delivered
ORD-100122,CUST-1092,2024-04-08 12:17:00,Bengaluru,UPI,delivered
ORD-100123,CUST-1117,2024-04-12 21:13:00,Mumbai,Card,delivered
ORD-100124,CUST-1006,2024-04-07 10:15:00,Delhi,Card,returned
ORD-100125,CUST-1053,2024-04-09 17:13:00,Mumbai,UPI,delivered
ORD-100126,CUST-1085,2024-04-19 19:00:00,Mumbai,UPI,delivered
ORD-100127,CUST-1034,2024-06-09 08:51:00,Mumbai,Card,delivered
ORD-100128,CUST-1007,2024-04-17 00:22:00,Bengaluru,UPI,cancelled
ORD-100129,CUST-1151,2024-05-12 00:11:00,Mumbai,UPI,delivered
ORD-100130,CUST-1190,2024-05-24 16:07:00,Delhi,COD,delivered
ORD-100131,CUST-1115,2024-05-17 16:37:00,Mumbai,Card,delivered
ORD-100132,CUST-1057,2024-06-18 01:46:00,Bengaluru,Card,cancelled
ORD-100133,CUST-1134,2024-05-09 14:41:00,Delhi,UPI,returned
ORD-100134,CUST-1123,2024-05-22 13:43:00,Delhi,Card,delivered
ORD-100135,CUST-1114,2024-04-10 02:20:00,Delhi,UPI,delivered
ORD-100136,CUST-1033,2024-05-06 19:40:00,Mumbai,Card,delivered
ORD-100137,CUST-1084,2024-05-19 19:33:00,Delhi,Card,delivered
ORD-100138,CUST-1155,2024-05-26 03:50:00,Bengaluru,Card,delivered
ORD-100139,CUST-1167,2024-06-10 23:55:00,Delhi,COD,delivered
ORD-100140,CUST-1059,2024-05-23 10:52:00,Bengaluru,COD,delivered
ORD-100141,CUST-1187,2024-04-13 10:27:00,Mumbai,COD,delivered
ORD-100142,CUST-1096,2024-04-20 21:59:00,Delhi,UPI,delivered
ORD-100143,CUST-1022,2024-04-12 13:06:00,Bengaluru,COD,delivered
ORD-100144,CUST-1034,2024-06-11 01:37:00,Mumbai,Card,returned
ORD-100145,CUST-1085,2024-06-25 03:26:00,Mumbai,Card,delivered
ORD-100146,CUST-1193,2024-05-25 23:03:00,Mumbai,Card,returned
ORD-100147,CUST-1080,2024-05-16 03:36:00,Delhi,UPI,delivered
ORD-100148,CUST-1169,2024-06-01 07:54:00,Delhi,Card,delivered
ORD-100149,CUST-1095,2024-04-15 08:36:00,Bengaluru,COD,delivered
ORD-100150,CUST-1144,2024-06-19 19:43:00,Mumbai,UPI,delivered
ORD-100151,CUST-1156,2024-06-24 22:17:00,Delhi,COD,delivered
ORD-100152,CUST-1180,2024-05-10 10:22:00,Mumbai,UPI,delivered
ORD-100153,CUST-1145,2024-06-24 12:04:00,Mumbai,Card,delivered
ORD-100154,CUST-1008,2024-04-12 23:33:00,Bengaluru,COD,delivered
ORD-100155,CUST-1117,2024-05-14 05:23:00,Mumbai,COD,delivered
ORD-100156,CUST-1199,2024-06-12 19:05:00,Delhi,UPI,returned
ORD-100157,CUST-1041,2024-06-19 01:43:00,Mumbai,COD,delivered
ORD-100158,CUST-1170,2024-05-25 15:38:00,Delhi,COD,delivered
ORD-100159,CUST-1056,2024-06-05 03:22:00,Bengaluru,COD,delivered
ORD-100160,CUST-1174,2024-06-26 18:31:00,Delhi,COD,delivered
