product_id,product_name,category,subcategory,cost_price
PRD-0101,"Rodriguez, Figueroa and Sanchez Phone Model 5",Electronics,Phones,19968.9
PRD-0102,DarkSlateGray T-Shirt,Clothing,T-Shirts,3448.16
PRD-0103,"Garcia, Yang and Gardner Camera Model 7",Electronics,Cameras,3026.72
PRD-0104,"Henderson, Johnson and Robinson Laptop Model 4",Electronics,Laptops,40675.75
PRD-0105,"Guzman, Hoffman and Baldwin Camera Model 4",Electronics,Cameras,57423.56
PRD-0106,'Total needs-based instruction set' Book,Books,Non-Fiction,728.89
PRD-0107,Metal Furniture,Home,Furniture,10517.37
PRD-0108,Metal Lighting,Home,Lighting,3347.41
PRD-0109,Wooden Furniture,Home,Furniture,5791.92
PRD-0110,Glass Lighting,Home,Lighting,12135.85
PRD-0111,   'Face-to-facE local ParAlleLism' book   ,Books,Children,274.76
PRD-0112,'Grass-roots 24hour task-force' Book,Books,Fiction,872.86
PRD-0113,Metal Decor,Home,Decor,10612.89
PRD-0114,Wolfe LLC Laptop Model 5,Electronics,Laptops,78825.11
PRD-0115,LightSeaGreen T-Shirt,Clothing,T-Shirts,2024.61
PRD-0116,'Distributed didactic task-force' Book,Books,Sci-Fi,327.72
PRD-0117,Glass Cookware,Home,Cookware,10572.03
PRD-0118,Garcia-James Camera Model 3,Electronics,Cameras,42964.12
PRD-0119,MintCream Jean,Clothing,Jeans,2418.85
PRD-0120,Metal Decor,Home,Decor,10316.52
PRD-0121,Munoz-Roman Laptop Model 1,Electronics,Laptops,64501.14
PRD-0122,'Upgradable logistical monitoring' Book,Books,Sci-Fi,192.66
PRD-0123,Ceramic Cookware,Home,Cookware,6025.13
PRD-0124,'Decentralized homogeneous artificial intelligence' Book,Books,Non-Fiction,470.83
PRD-0125,LightYellow Sneaker,Clothing,Sneakers,2787.09
PRD-0126,'Self-enabling regional hierarchy' Book,Books,Children,659.16
PRD-0127,GoldenRod Jean,Clothing,Jeans,2645.73
PRD-0128,"Jones, Stanley and Mejia Phone Model 2",Electronics,Phones,12650.88
PRD-0129,Cyan Sock,Clothing,Socks,3062.76
PRD-0130,'Focused bandwidth-monitored implementation' Book,Books,Biography,934.24
PRD-0131,'Grass-roots logistical productivity' Book,Books,Children,451.98
PRD-0132,Martin-Kelly Phone Model 9,Electronics,Phones,60194.79
PRD-0133,Glass Furniture,Home,Furniture,6606.26
PRD-0134,'Synchronized encompassing standardization' Book,Books,Fiction,1435.34
PRD-0135,Metal Decor,Home,Decor,7689.07
PRD-0136,"Wong, Lynch and Jackson Headphone Model 9",Electronics,Headphones,48913.13
PRD-0137,LemonChiffon Jacket,Clothing,Jackets,3860.05
PRD-0138,Ford LLC Camera Model 6,Electronics,Cameras,39344.15
PRD-0139,"Watts, Robinson and Nguyen Headphone Model 5",Electronics,Headphones,19536.46
PRD-0140,Chartreuse Sneaker,Clothing,Sneakers,4745.36
PRD-0141,Underwood LLC Smartwatche Model 2,Electronics,Smartwatches,78249.77
PRD-0142,PaleGoldenRod Jean,Clothing,Jeans,3366.8
PRD-0143,LightGreen Jacket,Clothing,Jackets,2732.83
PRD-0144,'Cloned didactic open system' Book,Books,Non-Fiction,1400.48
PRD-0145,   mArooN JaCKeT   ,Clothing,Jackets,2115.16
PRD-0146,   cERAmic beDding   ,Home,Bedding,1946.91
PRD-0147,HotPink T-Shirt,Clothing,T-Shirts,1822.81
PRD-0148,SpringGreen Sneaker,Clothing,Sneakers,1257.04
PRD-0149,Wilkerson-Day Phone Model 4,Electronics,Phones,5858.33
PRD-0150,   baKer and SonS hEADphone mOdEl 2   ,Electronics,Headphones,41375.41
PRD-0151,Metal Bedding,Home,Bedding,8157.62
PRD-0152,'User-friendly next generation monitoring' Book,Books,Non-Fiction,1198.47
PRD-0153,   'FuNdamentAl vAluE-adDeD pAradigm' Book   ,Books,Non-Fiction,232.06
PRD-0154,'Optimized optimal initiative' Book,Books,Sci-Fi,693.01
PRD-0155,'Multi-lateral directional challenge' Book,Books,Fiction,1042.71
PRD-0156,"Snyder, Campos and Callahan Phone Model 7",Electronics,Phones,58392.98
PRD-0157,Burton Ltd Laptop Model 4,Electronics,Laptops,15621.61
PRD-0158,'Optimized radical architecture' Book,Books,Non-Fiction,690.63
PRD-0159,Metal Bedding,Home,Bedding,13136.12
PRD-0160,James-Ferrell Smartwatche Model 9,Electronics,Smartwatches,8283.74
PRD-0161,"King, Tran and Dunlap Phone Model 4",Electronics,Phones,13721.73
PRD-0162,'Synergized uniform budgetary management' Book,Books,Biography,399.25
PRD-0163,'Synergized national system engine' Book,Books,Fiction,330.49
PRD-0164,Mack-Peterson Smartwatche Model 5,Electronics,Smartwatches,74158.19
PRD-0165,'Implemented intermediate complexity' Book,Books,Sci-Fi,692.21
PRD-0166,'Persevering 24hour success' Book,Books,Non-Fiction,365.86
PRD-0167,LightGray T-Shirt,Clothing,T-Shirts,2980.07
PRD-0168,"Gill, Romero and Rodriguez Headphone Model 1",Electronics,Headphones,4486.32
PRD-0169,'Self-enabling exuding productivity' Book,Books,Children,1387.14
PRD-0170,Tan T-Shirt,Clothing,T-Shirts,4811.74
PRD-0171,"Gonzalez, Brooks and Martin Laptop Model 2",Electronics,Laptops,47805.29
PRD-0172,Wheat Sock,Clothing,Socks,775.46
PRD-0173,AliceBlue Sneaker,Clothing,Sneakers,3053.69
PRD-0174,"Nguyen, Smith and Hickman Smartwatche Model 9",Electronics,Smartwatches,25651.4
PRD-0175,Glass Cookware,Home,Cookware,3694.49
PRD-0176,'Integrated disintermediate approach' Book,Books,Non-Fiction,1040.37
PRD-0177,Glass Bedding,Home,Bedding,13945.92
PRD-0178,Humphrey Inc Phone Model 8,Electronics,Phones,49882.16
PRD-0179,Dennis Inc Phone Model 9,Electronics,Phones,17445.77
PRD-0180,Glass Cookware,Home,Cookware,13230.83
PRD-0181,White Jacket,Clothing,Jackets,1567.94
PRD-0182,   'visioNARY cleAr-tHINking capAciTy' bOok   ,Books,Children,1084.96
PRD-0183,"Alvarez, Pierce and Baker Camera Model 5",Electronics,Cameras,74574.61
PRD-0184,"Henderson, Lewis and Ryan Laptop Model 5",Electronics,Laptops,9676.58
PRD-0185,"Vaughn, Marquez and Ross Camera Model 3",Electronics,Cameras,22151.68
PRD-0186,Navy Jacket,Clothing,Jackets,1177.27
PRD-0187,Ceramic Decor,Home,Decor,3879.15
PRD-0188,Lam-Hayes Phone Model 7,Electronics,Phones,66433.17
